"","ASV1","ASV17","ASV30","ASV75","ASV299","ASV302","ASV317","ASV329","ASV370","ASV505","ASV509","ASV526","ASV547","ASV614","ASV634","ASV643","ASV680","ASV709","ASV715","ASV736","ASV741","ASV780","ASV881","ASV892","ASV1111","ASV1135","ASV1424","ASV1498","ASV1644","ASV1691","ASV1744","ASV2132","ASV2177","ASV2180","ASV2243","ASV2395","ASV2459"
"C4_a",2503,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4_b",73403,1184,162,79,34,32,46,40,26,27,41,18,10,21,26,5,15,0,1,30,7,18,8,0,2,0,1,34,0,12,0,0,0,0,9,0,0
"C4_c",2999,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C5_a",58773,6,58,30,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C5_b",111745,61,98,48,2,3,1,0,0,0,0,0,0,1,0,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C5_c",106421,22,129,30,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D1_a",125486,8,110,43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,1,0,0,0
"D1_b",41866,27,32,20,2,0,2,0,0,0,3,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D1_c",50149,2,45,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"D2_a",60830,11,44,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D2_b",70492,281,74,31,2,14,4,12,9,2,1,3,1,10,4,1,1,0,0,2,1,1,5,0,1,4,0,0,0,3,0,0,0,0,0,0,0
"D2_c",84136,7,72,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D3_a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D4_a",83738,11,68,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D4_b",98489,309,125,37,6,10,8,16,4,5,3,4,14,2,4,1,6,0,0,6,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
"D4_c",58747,28,53,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E1_a",559941,30,494,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"E1_b",126567,26,135,42,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E1_c",112333,8,101,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E2_a",30647,6,36,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E3_a",3962,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E3_b",76127,1277,153,40,56,33,41,38,37,14,12,8,9,15,11,20,1,0,0,12,3,1,9,0,1,6,1,0,0,0,0,0,0,0,0,0,0
